epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,7531.38,0.74763,1.08606,0.50724,0.87164,0,0.71054,0.4759,0.4985,0.33482,0.68473,0.45135,0.46123,0.27071,1.00779,1.69822,0.90465,1.05072,0,0.000428093,0.000428093,0.000428093
51,7679.39,0.7318,1.07186,0.48575,0.8694,0,0.70537,0.48027,0.49396,0.33017,0.67976,0.45177,0.45301,0.26558,1.00814,1.72383,0.91617,1.04906,0,0.000392745,0.000392745,0.000392745
52,7828.64,0.72205,1.05933,0.47978,0.86558,0,0.71478,0.48245,0.49207,0.32926,0.68812,0.45545,0.45597,0.26444,1.00644,1.70935,0.91477,1.0479,0,0.000358641,0.000358641,0.000358641
53,7982.37,0.7358,1.08406,0.48108,0.86393,0,0.69898,0.47891,0.49424,0.33238,0.68206,0.45505,0.46268,0.2723,1.00951,1.72227,0.91441,1.04759,0,0.000325848,0.000325848,0.000325848
54,8132.28,0.70482,1.02498,0.46503,0.86261,0,0.5639,0.46922,0.49421,0.33436,0.53586,0.44472,0.46173,0.27083,1.00756,1.74821,0.91392,1.04644,0,0.000294433,0.000294433,0.000294433
55,8283.61,0.70413,1.02776,0.4655,0.86094,0,0.68934,0.48577,0.49763,0.33501,0.67553,0.45563,0.46477,0.27129,1.00287,1.74465,0.90608,1.04753,0,0.000264459,0.000264459,0.000264459
56,8432.59,0.72026,1.06431,0.46954,0.86251,0,0.70743,0.4868,0.49345,0.33246,0.67721,0.46004,0.45479,0.26771,1.01023,1.74509,0.90828,1.05224,0,0.000235987,0.000235987,0.000235987
57,8579.7,0.70089,1.02873,0.46055,0.85941,0,0.68561,0.49275,0.49263,0.33117,0.68966,0.44865,0.46242,0.26885,1.00198,1.73019,0.91504,1.04867,0,0.000209073,0.000209073,0.000209073
58,8727.71,0.69816,1.02789,0.45844,0.85745,0,0.54424,0.48969,0.49249,0.3328,0.51645,0.46317,0.45915,0.26987,1.00659,1.74808,0.9127,1.05005,0,0.000183772,0.000183772,0.000183772
59,8879.31,0.70345,1.03136,0.45972,0.85843,0,0.54822,0.49395,0.49824,0.33656,0.5223,0.46788,0.46335,0.27083,1.00324,1.76402,0.91861,1.04699,0,0.000160136,0.000160136,0.000160136
60,9030.88,0.69751,1.02562,0.45537,0.85631,0,0.695,0.49148,0.49564,0.33537,0.66868,0.46396,0.4588,0.26834,0.99913,1.73724,0.92175,1.04795,0,0.00013821,0.00013821,0.00013821
61,9114.95,0.69326,1.01744,0.45195,0.85551,0,0.51981,0.49265,0.48846,0.32808,0.49678,0.46968,0.45853,0.2668,1.01393,1.84094,0.92399,1.06647,0,0.000118041,0.000118041,0.000118041
62,9190.15,0.67286,0.95509,0.43001,0.84693,0,0.54758,0.49021,0.49254,0.33008,0.52315,0.45925,0.45343,0.26512,1.0121,1.79365,0.92443,1.06053,0,9.96675e-05,9.96675e-05,9.96675e-05
63,9265.6,0.66448,0.94953,0.43706,0.85088,0,0.69819,0.48903,0.4924,0.32936,0.67067,0.45925,0.45368,0.26451,1.00817,1.8059,0.91891,1.06014,0,8.31275e-05,8.31275e-05,8.31275e-05
64,9339.94,0.656,0.94242,0.41897,0.84519,0,0.70819,0.48028,0.49358,0.33233,0.67875,0.45442,0.45894,0.26808,0.99836,1.80779,0.91663,1.05403,0,6.8454e-05,6.8454e-05,6.8454e-05
65,9415.11,0.65805,0.93107,0.42059,0.84588,0,0.70078,0.48573,0.48985,0.32901,0.67201,0.45823,0.45409,0.26728,1.00818,1.82703,0.92485,1.05631,0,5.56768e-05,5.56768e-05,5.56768e-05
66,9489.96,0.6543,0.93308,0.41693,0.84395,0,0.70189,0.48732,0.4929,0.32987,0.67723,0.45524,0.45515,0.26784,1.0055,1.80419,0.91938,1.05769,0,4.48214e-05,4.48214e-05,4.48214e-05
67,9564.96,0.65042,0.93264,0.4212,0.84316,0,0.69724,0.48544,0.48798,0.3272,0.66817,0.4574,0.45139,0.26435,1.0098,1.82291,0.9223,1.05737,0,3.59097e-05,3.59097e-05,3.59097e-05
68,9639.07,0.65152,0.93091,0.41784,0.84308,0,0.70425,0.47703,0.48782,0.32692,0.67555,0.45062,0.45345,0.26519,1.00857,1.82731,0.92168,1.06054,0,2.89597e-05,2.89597e-05,2.89597e-05
69,9712.52,0.64915,0.9231,0.41131,0.84305,0,0.71377,0.47115,0.48906,0.32973,0.68835,0.44765,0.45548,0.26722,1.00694,1.81783,0.92122,1.05924,0,2.39854e-05,2.39854e-05,2.39854e-05
70,9788,0.64662,0.92517,0.41101,0.84201,0,0.69159,0.48553,0.49113,0.33054,0.67331,0.4499,0.45342,0.26737,1.01059,1.8277,0.92392,1.06097,0,2.09969e-05,2.09969e-05,2.09969e-05
